epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4673.94,1.67949,1.93816,1.13856,0.33666,0.16274,0.09481,0.05621,1.74437,2.54659,1.19614,0.00032309,0.00032309,0.00032309
43,4785.79,1.66375,1.88381,1.13414,0.34802,0.17186,0.07589,0.04381,1.78143,2.61541,1.16943,0.000312214,0.000312214,0.000312214
44,4891.65,1.66828,1.87863,1.12977,0.15411,0.17653,0.09489,0.05379,1.69416,2.4446,1.19515,0.000301338,0.000301338,0.000301338
45,5005.65,1.66267,1.88971,1.12989,0.39511,0.09903,0.06497,0.03662,1.96224,3.12321,1.26424,0.000290462,0.000290462,0.000290462
46,5115.44,1.66348,1.86365,1.12944,0.23934,0.14748,0.08554,0.04912,1.76644,2.75578,1.1964,0.000279586,0.000279586,0.000279586
47,5228.05,1.62634,1.81787,1.11786,0.37925,0.14509,0.08199,0.04619,1.76867,2.74203,1.18825,0.000268711,0.000268711,0.000268711
48,5336.68,1.63542,1.81071,1.12138,0.3601,0.19369,0.08784,0.05263,1.79485,3.03584,1.25116,0.000257835,0.000257835,0.000257835
49,5444.67,1.65153,1.82238,1.12101,0.45439,0.17824,0.09323,0.05136,1.81978,2.64191,1.21755,0.000246959,0.000246959,0.000246959
50,5556.54,1.64323,1.78024,1.11681,0.10071,0.18316,0.09334,0.05166,1.7136,2.44566,1.20601,0.000236083,0.000236083,0.000236083
51,5665.25,1.62919,1.8024,1.11669,0.26339,0.15456,0.08465,0.04738,1.79725,2.59525,1.19312,0.000225207,0.000225207,0.000225207
52,5778.64,1.63202,1.75099,1.11123,0.21652,0.1358,0.07775,0.0408,1.85474,2.56366,1.22102,0.000214331,0.000214331,0.000214331
